,UNICEF GLOBAL DATABASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Mortality Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional and global under-five mortality rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates generated by the UN Inter-agency Group for Child Mortality Estimation (UN IGME) in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloaded from http://data.unicef.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update: 19 September 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of under-five mortality rate by UNICEF region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Uncertainty bounds*,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Lower,176.493843,175.0352,173.631069,172.164563,171.560737,168.694617,165.327422,162.485403,159.055657,154.527158,149.858079,144.673708,139.177492,133.635467,128.076557,122.64456,117.419709,112.278408,107.280003,102.510674,98.099818,93.923947,90.022601,86.462992,83.319023,80.400954,77.518927,74.896736,72.341618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Median,179.91996,178.453313,176.931921,175.436212,174.754076,171.843602,168.456479,165.547938,162.086422,157.488958,152.754117,147.516581,142.002054,136.387304,130.782677,125.336477,120.118471,115.040191,110.129326,105.504474,101.247956,97.28341,93.697686,90.436003,87.502017,84.804325,82.230161,79.840383,77.514365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Upper,183.906503,182.381,180.860508,179.374322,178.633567,175.661871,172.259009,169.322386,165.798391,161.102111,156.262272,150.983828,145.417641,139.747012,134.075525,128.575241,123.310564,118.320694,113.620353,109.297533,105.30789,101.714257,98.592807,95.935245,93.599529,91.52126,89.795748,88.256696,86.77662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Lower,191.350415,189.950623,188.457299,186.845817,185.069187,182.921754,180.303643,177.186101,173.537185,169.331418,164.744703,159.80604,154.675253,149.372914,144.05955,138.82268,133.716333,128.744451,123.877326,119.246118,114.861493,110.7435,106.928206,103.290151,99.877035,96.615057,93.362004,90.052735,86.76801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Median,197.284619,195.756048,194.202592,192.601304,190.733287,188.474836,185.742748,182.47248,178.67625,174.359726,169.703577,164.690244,159.435654,154.042984,148.632551,143.362175,138.239119,133.330195,128.672716,124.324482,120.247899,116.530779,113.186863,110.103919,107.219173,104.538322,101.899457,99.315736,96.698287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Upper,203.726529,202.234699,200.639975,198.914824,197.060373,194.709925,191.849024,188.484712,184.487564,179.979242,175.131625,170.065945,164.781499,159.294644,153.766245,148.467673,143.303808,138.513419,134.038753,129.996345,126.448287,123.281718,120.599636,118.353365,116.555299,115.228017,114.00975,112.942052,111.705496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Lower,160.033059,158.542348,157.029086,155.560821,155.941372,152.380665,148.310362,145.702023,142.554526,137.722018,132.890772,127.460109,121.666838,115.808299,109.97041,104.296361,98.895664,93.487211,88.095498,82.947,78.234283,73.71347,69.606941,65.90243,62.695284,59.794809,57.108572,54.723939,52.511596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Median,163.781791,162.289027,160.70612,159.219357,159.588008,155.970052,151.875512,149.244232,146.03143,141.077591,136.182315,130.638118,124.782218,118.86544,112.987336,107.285183,101.888958,96.546528,91.275416,86.255553,81.692995,77.345281,73.381422,69.811027,66.711959,63.894233,61.300615,59.042499,56.964864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Upper,168.141555,166.637799,165.083661,163.570648,163.973268,160.282205,156.079501,153.385651,150.102089,145.15214,140.120053,134.530475,128.62761,122.635497,116.718609,110.965601,105.630784,100.403117,95.368617,90.6247,86.429112,82.491144,78.938131,75.772967,73.036074,70.73571,68.620937,66.931622,65.449938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Lower,63.396222,60.758573,58.287257,55.948812,53.669781,51.447957,49.26389,47.125825,45.042665,43.027542,41.078356,39.197957,37.366712,35.640563,33.991764,32.408204,30.920136,29.48964,28.137621,26.902155,25.81299,24.919402,24.092641,23.258341,22.444944,21.661873,20.916587,20.124051,19.402641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
